HOMELOCATION	LIBRARY	folio_code
MAP-CASES	EARTH-SCI	EAR-MAP-CASES
MAP-FILE	EARTH-SCI	EAR-MAP-FILES
MEDIA	EARTH-SCI	EAR-MEDIA
MEZZANINE	EARTH-SCI	EAR-MEZZANINE
MICROTEXT	EARTH-SCI	EAR-MICROTEXT
TECH-RPTS	EARTH-SCI	EAR-TECH-REPORTS
STORAGE	EARTH-SCI	EAR-STORAGE
MAP-STOR	EARTH-SCI	EAR-STOR-MAPS
THESES	EARTH-SCI	EAR-THESES
STAFSHADOW	EARTH-SCI	EAR-STAFFSHADOW
STACKS	EARTH-SCI	EAR-STACKS
READY-REF	EARTH-SCI	EAR-READY-REF
LCK-STOR	EARTH-SCI	EAR-STOR-LOCKED
JAPANESE	EAST-ASIA	EAL-JAPANESE
NEWSPAPERS	EAST-ASIA	EAL-NEWSPAPERS
*	EAST-ASIA	EAL-MIGRATE-ERR
CHINESE	EAST-ASIA	EAL-CHINESE
FOLIO-CHN	EAST-ASIA	EAL-FOLIO-CHINESE
FOLIO-JPN	EAST-ASIA	EAL-FOLIO-JAPANESE
FOLIO-KOR	EAST-ASIA	EAL-FOLIO-KOREAN
KOREAN	EAST-ASIA	EAL-KOREAN
LOCK-STK-O	EAST-ASIA	EAL-LOCKED-OVERSIZE
MEDIA	EAST-ASIA	EAL-MEDIA
REFERENCE	EAST-ASIA	EAL-REF
SETS	EAST-ASIA	EAL-SETS
STAFSHADOW	EAST-ASIA	EAL-STAFFSHADOW
LOCKED-STK	EAST-ASIA	EAL-LOCKED
MICROTEXT	EDUCATION	EDU-MICROTEXT
STACKS	EDUCATION	EDU-STACKS
CURRICULUM	EDUCATION	EDU-CURRICULUM
REFERENCE	EDUCATION	EDU-REF
CURRSTOR	EDUCATION	EDU-CURRSTOR
*	EDUCATION	EDU-MIGRATE-ERR
LOCKED-STK	EDUCATION	EDU-LOCKED
INSTRUCTOR	EDUCATION	EDU-INSTRUCTOR
SHELBYTITL	ENG	ENG-PER
EQUIPMENT	ENG	ENG-EQUIPMENT
INSTRUCTOR	ENG	ENG-INSTRUCTOR
ENGDISPLAY	ENG	ENG-PER
PERM-RES	ENG	ENG-PERMRES
SCIFI	ENG	ENG-SCIFI
*	ENG	ENG-MIGRATE-ERR
TIMO-COLL	ENG	ENG-TIMO-COLL
STACKS	ENG	ENG-STACKS
STK-NOCIRC	ENG	ENG-STK-NONCIRC
TERM-COLL	ENG	ENG-TERM-COLL
*	GREEN	GRE-MIGRATE-ERR
TINY	HOOVER	HILA-TINY
STACKS	HOOVER	HILA-STACKS
REFERENCE	HOOVER	HILA-REF
OVERSIZED	HOOVER	HILA-OVERSIZED
MAPS	HOOVER	HILA-FLATFILES
MICROFILM	HOOVER	HILA-MICROFORMS
MICROFICHE	HOOVER	HILA-MICROFORMS
FOLIO	HOOVER	HILA-FOLIO
ARABIC	HOOVER	HILA-STACKS
TURKISH	HOOVER	HILA-STACKS
MICROTEXT	HOOVER	HILA-MICROFORMS
VAULT	HOOVER	HILA-VAULT
PERSIAN	HOOVER	HILA-STACKS
*	HOOVER	HILA-MIGRATE-ERR
JUVENILE	HOPKINS	MAR-JUVENILE
STACKS	HOPKINS	MAR-STACKS
SERIALS	HOPKINS	MAR-SERIALS
*	HOPKINS	MAR-MIGRATE-ERR
MAPS	HOPKINS	MAR-MAPS
SHELBYTITL	HOPKINS	MAR-SHELBYTITLE
THESES	HOPKINS	MAR-LOCKED-THESES
POPSCI	HOPKINS	MAR-POPSCI
LOCKED-STK	HOPKINS	MAR-LOCKED-STACKS
MEDIA	HOPKINS	MAR-LOCKED-MEDIA
EXPEDITION	HOPKINS	MAR-EXPEDITIONS
ATLASES	HOPKINS	MAR-ATLASES
BALDRIDGE	HOPKINS	MAR-BALDRIDGE
KU/CC/DI/2	KU/CC/DI/2	KU/CC/DI/2
KU/CC/DI/A	KU/CC/DI/A	KU/CC/DI/A
KU/CC/DI/M	KU/CC/DI/M	KU/CC/DI/M
KU/CC/DI/O	KU/CC/DI/O	KU/CC/DI/O
KU/CC/DI/P	KU/CC/DI/P	KU/CC/DI/P
LANE-SDOC	LANE	LANE-SDOC
LANE-COR	LANE	LANE-COR
LANE-CRDSK	LANE	LANE-CRDSK
LANE-CRES	LANE	LANE-CRES
LANE-RES	LANE	LANE-RES
LANE-RFDSK	LANE	LANE-RFDSK
LANE-RLOC	LANE	LANE-RLOC
LANE-ROLC	LANE	LANE-ROLC
LANE-RREF	LANE	LANE-RREF
LANE-COMP	LANE	LANE-COMP
LANE-DCORE	LANE	LANE-DCORE
LANE-ECOLL	LANE	LANE-ECOLL
LANE-ECOMP	LANE	LANE-ECOMP
LANE-EDATA	LANE	LANE-EDATA
LANE-EDOC	LANE	LANE-EDOC
LANE-EPER	LANE	LANE-EPER
LANE-EPER1	LANE	LANE-EPER1
LANE-EPER2	LANE	LANE-EPER2
LANE-EPER3	LANE	LANE-EPER3
LANE-EPER4	LANE	LANE-EPER4
LANE-EPER5	LANE	LANE-EPER5
LANE-DESKCOPY	LANE	LANE-DESKCOPY
LANE-COM	LANE	LANE-COM
LANE-CIRC	LANE	LANE-CIRC
LANE-CDLC	LANE	LANE-CDLC
LANE-INSTR	LANE	LANE-INSTR
LANE-PRES	LANE	LANE-PRES
LANE-ISIIF	LANE	LANE-ISIIF
LANE-LAN	LANE	LANE-LAN
LANE-PRREF	LANE	LANE-PRREF
LANE-LIBR	LANE	LANE-LIBR
LANE-LKSC	LANE	LANE-LKSC
LANE-MAP	LANE	LANE-MAP
LANE-PRSV	LANE	LANE-PRSV
LANE-EPER6	LANE	LANE-EPER6
LANE-MINI	LANE	LANE-MINI
LANE-PSPEC	LANE	LANE-PSPEC
LANE-ARASZ	LANE	LANE-ARASZ
LANE-ARCH	LANE	LANE-ARCH
LANE-AV	LANE	LANE-AV
LANE-BOOK	LANE	LANE-BOOK
LANE-BSP	LANE	LANE-BSP
LANE-BSW	LANE	LANE-BSW
LANE-PTS	LANE	LANE-PTS
LANE-REF	LANE	LANE-REF
LANE-ARAB	LANE	LANE-ARAB
LANE-EPER7	LANE	LANE-EPER7
LANE-ERQC	LANE	LANE-ERQC
LANE-SCAN	LANE	LANE-SCAN
LANE-PORT	LANE	LANE-PORT
LANE-SAL3X	LANE	LANE-SAL3X
LANE-TS	LANE	LANE-TS
LANE-THSS	LANE	LANE-THSS
LANE-SUL	LANE	LANE-SUL
LANE-STRG	LANE	LANE-STRG
LANE-STOR	LANE	LANE-STOR
LANE-SREF	LANE	LANE-SREF
LANE-SPOO3	LANE	LANE-SPOO3
LANE-PER	LANE	LANE-PER
LANE-SPOO2	LANE	LANE-SPOO2
LANE-SPOLD	LANE	LANE-SPOLD
LANE-SPLCO	LANE	LANE-SPLCO
LANE-SPEC	LANE	LANE-SPEC
LANE-SPAV	LANE	LANE-SPAV
LANE-SOMCC	LANE	LANE-SOMCC
LANE-SOFT	LANE	LANE-SOFT
LANE-SFOL	LANE	LANE-SFOL
LANE-SFLAT	LANE	LANE-SFLAT
LANE-SERIES	LANE	LANE-SERIES
LANE-SPOO1	LANE	LANE-SPOO1
LANE-SAL3	LANE	LANE-SAL3
LANE-PAV	LANE	LANE-PAV
LANE-PARCH	LANE	LANE-PARCH
LANE-FLAT	LANE	LANE-FLAT
LANE-FOLIO	LANE	LANE-FOLIO
LANE-FOTOF	LANE	LANE-FOTOF
LANE-FTHSS	LANE	LANE-FTHSS
LANE-HIST	LANE	LANE-HIST
LANE-HSFLE	LANE	LANE-HSFLE
LANE-IMAGE	LANE	LANE-IMAGE
LANE-RTHSS	LANE	LANE-RTHSS
LANE-INCAT	LANE	LANE-INCAT
LANE-INDEX	LANE	LANE-INDEX
LANE-MOBI	LANE	LANE-MOBI
LANE-MSS	LANE	LANE-MSS
LANE-NEWB	LANE	LANE-NEWB
LANE-NEWS	LANE	LANE-NEWS
LANE-NLOC	LANE	LANE-NLOC
LANE-NOLOC	LANE	LANE-NOLOC
LANE-OLC	LANE	LANE-OLC
LANE-OLD	LANE	LANE-OLD
LANE-OVPER	LANE	LANE-OVPER
LANE-OVSZE	LANE	LANE-OVSZE
LANE-PANL	LANE	LANE-PANL
LANE-EQUIP	LANE	LANE-EQUIP
LANE-PREF	LANE	LANE-PREF
LANE-WKSTD	LANE	LANE-WKSTD
FOLIO-BAS	LAW	LAW-FOLIO-BASEMENT
VROOMAN2	LAW	LAW-VROOMAN2
VROOMAN-OV	LAW	LAW-VROOMAN-OV
TECH-SERV	LAW	LAW-TECHSHADOW
STACKS-2	LAW	LAW-STACKS2
VROOMAN	LAW	LAW-VROOMAN
PERM-RES	LAW	LAW-PERMRES
MICROTEXT	LAW	LAW-MICROTEXT
LOCKED-STK	LAW	LAW-LOCKED
LAW-CAREER	LAW	LAW-CAREER
OUT-TRAVEL	LAW	LAW-OUTDOOR-TRAVEL
BOOKCAB	LAW	LAW-BOOKCABINET
WELLNESS	LAW	LAW-WELLNESS
REFERENCE	LAW	LAW-REF
INSTRUCTOR	LAW	LAW-INSTRUCTOR
COOKBOOK	LAW	LAW-COOKBOOK
STACKS-1	LAW	LAW-STACKS1
NEWSPAPERS	LAW	LAW-NEWSPAPERS
MANNING	LAW	LAW-MANNING
BASEMENT	LAW	LAW-BASEMENT
EYLESAISLE	LAW	LAW-EYLESAISLE
ATCIRCDESK	LAW	LAW-ATCIRCDESK
TECHSHADOW	LAW	LAW-TECHSHADOW
STAFSHADOW	LAW	LAW-STAFFSHADOW
LAW-ARCHIV	LAW	LAW-SPECIALCOLLECTIONS
MEDIA	LAW	LAW-MEDIA
*	LAW	LAW-MIGRATE-ERR
FACULTY	LAW	LAW-NEUKOM
LAW-SPECIALCOLLECTIONS	LAW-SPECIALCOLLECTIONS	LAW-SPECIALCOLLECTIONS
LAW-STAFFSHADOW	LAW-STAFFSHADOW	LAW-STAFFSHADOW
MM-ARTCAB	MEDIA-MTXT	MEDIA-ARTCAB
MM-BUSCAB	MEDIA-MTXT	MEDIA-BUSCAB
MM-CDCAB	MEDIA-MTXT	MEDIA-CDCAB
MM-DIZOCAB	MEDIA-MTXT	MEDIA-DIZOCAB
MM-MATHCAB	MEDIA-MTXT	MEDIA-MATHCAB
MM-OVERSIZ	MEDIA-MTXT	MEDIA-OVERSIZE
PAGE-MM	MEDIA-MTXT	MEDIA-PAGE-MM
STACKS	MEDIA-MTXT	MEDIA-STACKS
MM-STACKS	MEDIA-MTXT	MEDIA-CAGE
*	MEDIA-MTXT	MEDIA-MIGRATE-ERR
REFERENCE	MUSIC	MUS-REF
SCORES	MUSIC	MUS-SCORES
PERM-RES	MUSIC	MUS-PERMRES
RECORDINGS	MUSIC	MUS-RECORDINGS
INSTRUCTOR	MUSIC	MUS-INSTRUCTOR
FOLIO	MUSIC	MUS-FOLIO
R-MINIATUR	MUSIC	MUS-R-MINIATURE
STACKS	MUSIC	MUS-STACKS
R-STACKS	MUSIC	MUS-R-STACKS
FOLIO-FLAT	MUSIC	MUS-FLAT
*	MUSIC	MUS-MIGRATE-ERR
MEMLIBMUS	MUSIC	MUS-LOCKED
MICROTEXT	MUSIC	MUS-MICROTEXT
MINIATURE	MUSIC	MUS-MINIATURE
R-FOLIO	MUSIC	MUS-R-FOLIO
LOCKED-STK	MUSIC	MUS-LOCKED
W7-MAP-BXS	RUMSEYMAP	RUM-W7-BOX-SM
W7-POCK-RG	RUMSEYMAP	RUM-W7-POCKET-REG
W7-ROLLED	RUMSEYMAP	RUM-W7-ROLLED
W7-FOLIO	RUMSEYMAP	RUM-W7-FOLIO
W7-CASE-MD	RUMSEYMAP	RUM-W7-CASE-MD
W7-STK-LG	RUMSEYMAP	RUM-W7-STK-LG
W7-POCK-LG	RUMSEYMAP	RUM-W7-POCKET-LG
MP-CASE-SM	RUMSEYMAP	RUM-C-CASE-SM
STK-MED	RUMSEYMAP	RUM-C-STK-MD
W7-BXO	RUMSEYMAP	RUM-W7-FOLIO
W7-SANBORN	RUMSEYMAP	RUM-W7-SANBORN
W7-STK-XLG	RUMSEYMAP	RUM-W7-STK-XL
STK-SM	RUMSEYMAP	RUM-C-STK-SM
W7-REF	RUMSEYMAP	RUM-W7-STK-REF
MP-CASE-MD	RUMSEYMAP	RUM-C-CASE-MD
W7-STK-XLG	RUMSEYMAP	RUM-W7-STK-XL
STK-XLG	RUMSEYMAP	RUM-C-STK-XL
W7-BXLG-HM	RUMSEYMAP	RUM-W7-BOX-LG-HM
W7-STK-SM	RUMSEYMAP	RUM-W7-STK-SM
W7-OBJECTS	RUMSEYMAP	RUM-W7-OBJECTS
W7-BXSM-HM	RUMSEYMAP	RUM-W7-BOX-SM-HM
W7-CASE-HM	RUMSEYMAP	RUM-W7-CASE-HM
*	RUMSEYMAP	RUM-MIGRATE-ERR
W7-STK-MED	RUMSEYMAP	RUM-W7-STK-MD
RUMSEYREF	RUMSEYMAP	RUM-C-STK-REF
MP-CASE-LG	RUMSEYMAP	RUM-C-CASE-LG
W7-MAP-BXL	RUMSEYMAP	RUM-W7-BOX-LG
W7-MAP-XLG	RUMSEYMAP	RUM-W7-MAP-XL
STK-GEMS	RUMSEYMAP	RUM-C-STK-GEM
RUMXEMPLAR	RUMSEYMAP	RUM-W7-STK-REF
STK-LG	RUMSEYMAP	RUM-C-STK-LG
SAL-FOLIO	SAL	SAL-FOLIO
SAL-PAGE	SAL	SAL-PAGE
SAL-TEMP	SAL	SAL-TEMP
SALTURKISH	SAL	SAL-TURKISH
SOUTH-MEZZ	SAL	SAL-SOUTH-MEZZ
STACKS	SAL	SAL-STACKS
TECH-RPTS	SAL	SAL-TECH-REPORTS
UNCAT	SAL	SAL-PUB70
ND-PAGE-EA	SAL	SAL-ND-PAGE-EA
L-PAGE-EA	SAL	SAL-LOCKED-PAGE-EA
HY-PAGE-EA	SAL	SAL-HY-PAGE-EA
FED-DOCS	SAL	SAL-FED-DOCS
EAL-STKS-K	SAL	SAL-EAL-STKS-K
EAL-STKS-J	SAL	SAL-EAL-STKS-J
EAL-SETS	SAL	SAL-EAL-SETS
SAL-ARABIC	SAL	SAL-ARABIC
EAL-STKS-C	SAL	SAL-EAL-STKS-C
PAGE-GR	SAL	SAL-PAGE-GR
*	SAL	SAL-MIGRATE-ERR
SCI-INSTRUCTOR	SCI-INSTRUCTOR	SCI-INSTRUCTOR
ATCIRCDESK	SCIENCE	SCI-ATCIRCDESK
POPSCI	SCIENCE	SCI-POPSCI
REFERENCE	SCIENCE	SCI-REF
RET-REF	SCIENCE	SCI-RETIRED-REF
SAFETY	SCIENCE	SCI-SAFETY
*	SCIENCE	SCI-MIGRATE-ERR
SHELBYSER	SCIENCE	SCI-SHELBYSERIES
SHELBYTITL	SCIENCE	SCI-SHELBYTITLE
STACKS	SCIENCE	SCI-STACKS
UARCH-REF	SPEC-COLL	SPEC-UARCH-REF
FELTON	SPEC-COLL	SPEC-FELTON
U-ARCHIVES	SPEC-COLL	SPEC-U-ARCHIVES
TECHSHADOW	SPEC-COLL	SPEC-TECHSHADOW
TAUBE	SPEC-COLL	SPEC-TAUBE
STAFSHADOW	SPEC-COLL	SPEC-STAFFSHADOW
STACKS	SPEC-COLL	SPEC-STACKS
BARCHAS	SPEC-COLL	SPEC-BARCHAS
SAMSON	SPEC-COLL	SPEC-SAMSON
ROBINSON	SPEC-COLL	SPEC-ROBINSON
REFERENCE	SPEC-COLL	SPEC-REF
SHADOW	SPEC-COLL	SPEC-SHADOW
NEWTON	SPEC-COLL	SPEC-NEWTON
MSS-20	SPEC-COLL	SPEC-MSS-20
MSS-10	SPEC-COLL	SPEC-MSS-10
MEMLIBMUS	SPEC-COLL	SPEC-MEMLIBMUS
MANUSCRIPT	SPEC-COLL	SPEC-MANUSCRIPT
LAW-SPEC	SPEC-COLL	SPEC-LAW
GUNST	SPEC-COLL	SPEC-GUNST
FRECOT	SPEC-COLL	SPEC-FRECOT
RARE-BOOKS	SPEC-COLL	SPEC-RARE-BOOKS
*	SPEC-COLL	SPEC-MIGRATE-ERR
SHELBYTITL	TANNER	TAN-SHELBYTITLE
REFERENCE	TANNER	TAN-REF
*	TANNER	TAN-MIGRATE-ERR
FOLIO	TANNER	TAN-FOLIO
LEWIS-COLL	TANNER	TAN-LEWIS-COLL
STACKS	TANNER	TAN-STACKS
*	*	EDU-REF
SSRC-DATA	GREEN	GRE-SSRC-DATA
CURRENTPER	GREEN	GRE-CURRENTPER
SSRC-CSLI	GREEN	GRE-SSRC-CSLI
SSRC-DOCS	GREEN	GRE-SSRC-DOCS
SSRC-EDU	GREEN	GRE-SSRC-EDU
LL-NEWS	GREEN	GRE-LL-NEWSPAPERS
SSRC-ATLAS	GREEN	GRE-SSRC-ATLAS
INSTRUCTOR	GREEN	GRE-INSTRUCTOR
IC-RREF	GREEN	GRE-HH-REF
MAGAZINE	GREEN	GRE-HH-MAGAZINE
FOLIO	GREEN	GRE-FOLIO
STACKS	GREEN	GRE-STACKS
LOCKED-STK	GREEN	GRE-LOCKED-STK
FOLIO-FLAT	GREEN	GRE-FOLIO-FLAT
SSRC-STATS	GREEN	GRE-SSRC-STATS
SSRC	GREEN	GRE-SSRC
BRIT-DOCS	GREEN	GRE-BRIT-DOCS
SSRC-SSDS	GREEN	GRE-SSRC-SSDS
FED-DOCS	GREEN	GRE-FED-DOCS
CALIF-DOCS	GREEN	GRE-CAL-DOCS
RAUB-NUM	GREEN	GRE-RAUB-NUM
RAUB-COLL	GREEN	GRE-RAUB-COLL
HAS-SU	GREEN	GRE-HAS-SU
HAS-RR	GREEN	GRE-HAS-READYREF
HAS-JOURN	GREEN	GRE-HAS-JOURNALS
HAS-FOLIO	GREEN	GRE-HAS-FOLIO
HAS-DIGIT	GREEN	GRE-STACKS
HASRC	GREEN	GRE-HASRC
HAS-ATLAS	GREEN	GRE-HAS-ATLAS
CDPSHADOW	GREEN	GRE-CDPSHADOW
BENDER	GREEN	GRE-BENDER
SSRC-NWDOC	GREEN	GRE-SSRC-NEWDOC
SSRC-FILM	GREEN	GRE-DOCS-MICROFILM
SSRC-FICHE	GREEN	GRE-DOCS-MICROFICHE
HAS-CA	GREEN	GRE-HAS-CA
INTL-DOCS	GREEN	GRE-INTL-DOCS
W7-CASE-MT	RUMSEYMAP	RUM-W7-CONSERV
W7-CONSERV	RUMSEYMAP	RUM-W7-CONSERV
W7-FRAME	RUMSEYMAP	RUM-W7-CONSERV
HAS-FIC	GREEN	GRE-HAS-FICTION
HAS-NEWBK	GREEN	GRE-HAS-NEWBOOK
IC-EXHIBIT	GREEN	GRE-HH-EXHIBIT
SSRC-NEWBK	GREEN	GRE-SSRC-NEWBOOK
SSRC-NWDOC	GREEN	GRE-SSRC-NEWDOC
